"","FID","Year.x","CY","pixFAV","pixSAV","pixWat","percFAV","percSAV","percWat","spr1cy","spr2cy","spr3cy","pszsav","pszfav","uniqueID","SprTtlYrs","Orig_FID","Habitat","Stratum","index","SprayPolyAreaM2","Latitude","Longitude","RID","DBWsiteAreaM2","yr_corr","yr_rid","ttlX24D","ttlGlyph","cnt.rws","Year.y","AggHabitat","AggStratum"
"1",0,"2004",3,166,2377,2683,0.0317642556448527,0.454841178721776,0.513394565633372,0,0,0,NA,NA,"0_2004",14,2,"Channel","SoutheastDelta",1,144980.19,37.889171,-121.419849,47,194402.64,"2003","2003_47",13.5,0,6,2003,"Channel","SoutheastDelta"
"2",1,"2004",0,387,1507,2207,0.0943672275054865,0.367471348451597,0.538161424042916,2,0,0,NA,NA,"1_2004",8,3,"Channel","SouthwestDelta",2,46271.8,37.892427,-121.488531,50,556553.24,"2003","2003_50",NA,NA,NA,NA,"Channel","SouthwestDelta"
"3",2,"2004",3,57,410,5151,0.0101459594161623,0.0729797080811677,0.91687433250267,0,0,0,NA,NA,"2_2004",11,4,"Channel","SouthwestDelta",3,86510.63,37.921327,-121.520942,56,730079.05,"2003","2003_56",18.25,0,7,2003,"Channel","SouthwestDelta"
"4",3,"2004",3,85,1099,3354,0.0187307183781402,0.242177170559718,0.739092111062142,0,0,0,NA,NA,"3_2004",14,5,"Channel","SouthwestDelta",4,49458.61,37.940283,-121.541511,57,352782.69,"2003","2003_57",7.75,0,3,2003,"Channel","SouthwestDelta"
"5",4,"2004",3,1033,2760,4960,0.11801667999543,0.315320461556038,0.566662858448532,0,0,0,NA,NA,"4_2004",14,6,"Channel","SouthwestDelta",5,117802.7,37.940311,-121.553204,57,352782.69,"2003","2003_57",7.75,0,3,2003,"Channel","SouthwestDelta"
"6",5,"2004",3,1416,1601,13219,0.0872135994087214,0.0986080315348608,0.814178369056418,0,0,0,NA,NA,"5_2004",12,7,"SlowShallows","SouthwestDelta",6,261202.16,37.945834,-121.561613,92,1027642.92,"2003","2003_92",15,0,10,2003,"SlowShallows","SouthwestDelta"
"7",6,"2004",3,2451,3497,14513,0.11978886662431,0.170910512682665,0.709300620693026,0,0,0,NA,NA,"6_2004",13,8,"SlowShallows","SouthwestDelta",7,276311.13,37.947875,-121.529206,58,645061.58,"2003","2003_58",12.25,0,5,2003,"SlowShallows","SouthwestDelta"
"8",8,"2004",3,569,1026,6873,0.0671941426547,0.121162021728862,0.811643835616438,0,0,0,NA,NA,"8_2004",13,10,"Channel","SouthwestDelta",8,98831.32,37.954801,-121.569227,92,1027642.92,"2003","2003_92",15,0,10,2003,"Channel","SouthwestDelta"
"9",9,"2004",0,52,352,1584,0.0261569416498994,0.177062374245473,0.796780684104628,1,0,0,NA,NA,"9_2004",7,11,"Channel","SouthwestDelta",9,20197.06,37.964003,-121.603186,96,239442.33,"2003","2003_96",2.75,0,1,2003,"Channel","SouthwestDelta"
"10",11,"2004",3,432,1075,129,0.264058679706601,0.657090464547677,0.0788508557457213,0,0,0,NA,NA,"11_2004",11,13,"Channel","SouthwestDelta",10,17570.37,37.979692,-121.515134,65,2274489.69,"2003","2003_65",40.75,0,16,2003,"Channel","SouthwestDelta"
"11",12,"2004",3,192,474,6176,0.0280619701841567,0.0692779888921368,0.902660040923707,0,0,0,NA,NA,"12_2004",10,14,"FloodedIsland","SouthwestDelta",11,79470.31,37.973401,-121.535178,59,807797.04,"2003","2003_59",11.75,0,5,2003,"FloodedIsland","SouthwestDelta"
"12",13,"2004",3,372,696,2117,0.11679748822606,0.218524332810047,0.664678178963893,0,0,0,NA,NA,"13_2004",11,15,"Channel","SouthwestDelta",12,36194.12,37.981034,-121.516036,65,2274489.69,"2003","2003_65",40.75,0,16,2003,"Channel","SouthwestDelta"
"13",14,"2004",3,120,659,2218,0.04004004004004,0.219886553219887,0.740073406740073,0,0,0,NA,NA,"14_2004",11,16,"SlowShallows","SouthwestDelta",13,36666.97,37.986748,-121.516002,65,2274489.69,"2003","2003_65",40.75,0,16,2003,"SlowShallows","SouthwestDelta"
"14",15,"2004",3,39,325,1901,0.0172185430463576,0.143487858719647,0.839293598233996,0,0,0,NA,NA,"15_2004",10,17,"SlowShallows","SouthwestDelta",14,25111.75,37.989673,-121.512993,65,2274489.69,"2003","2003_65",40.75,0,16,2003,"SlowShallows","SouthwestDelta"
"15",16,"2004",0,0,289,316,0,0.477685950413223,0.522314049586777,2,0,0,NA,NA,"16_2004",3,18,"SlowShallows","SoutheastDelta",15,8956.73,37.989107,-121.403732,10,927682.21,"2003","2003_10",2,0,1,2003,"SlowShallows","SoutheastDelta"
"16",18,"2004",3,1509,772,1202,0.433247200689061,0.221648004593741,0.345104794717198,0,0,0,NA,NA,"18_2004",11,20,"SlowShallows","SouthwestDelta",16,47969.67,37.993898,-121.509958,65,2274489.69,"2003","2003_65",40.75,0,16,2003,"SlowShallows","SouthwestDelta"
"17",19,"2004",3,188,557,1034,0.105677346824058,0.31309724564362,0.581225407532322,0,0,0,NA,NA,"19_2004",11,21,"SlowShallows","SouthwestDelta",17,26051.18,37.99622,-121.507723,65,2274489.69,"2003","2003_65",40.75,0,16,2003,"SlowShallows","SouthwestDelta"
"18",20,"2004",3,104,786,3401,0.024236774644605,0.183174085294803,0.792589140060592,0,0,0,NA,NA,"20_2004",11,22,"Channel","SouthwestDelta",18,49628.93,37.999033,-121.572255,99,1889214.5,"2003","2003_99",29.25,0,19,2003,"Channel","SouthwestDelta"
"19",21,"2004",0,366,966,2770,0.0892247684056558,0.235494880546075,0.675280351048269,2,0,0,NA,NA,"21_2004",12,23,"Channel","SoutheastDelta",19,53615.25,37.996408,-121.451373,13,1804608.06,"2003","2003_13",18,0,8,2003,"Channel","SoutheastDelta"
"20",22,"2004",3,289,283,5747,0.0457350846652951,0.0447855673366039,0.909479347998101,0,0,0,NA,NA,"22_2004",12,24,"Channel","SouthwestDelta",20,73506.91,37.982882,-121.529779,67,1913096.72,"2003","2003_67",21.25,0,11,2003,"Channel","SouthwestDelta"
"21",23,"2004",3,1,441,3538,0.000251256281407035,0.110804020100503,0.88894472361809,0,0,0,NA,NA,"23_2004",7,25,"Channel","SouthwestDelta",21,49726,38.003357,-121.527935,67,1913096.72,"2003","2003_67",21.25,0,11,2003,"Channel","SouthwestDelta"
"22",24,"2004",0,0,299,1369,0,0.179256594724221,0.820743405275779,2,0,0,NA,NA,"24_2004",6,26,"Channel","SouthwestDelta",22,21653.38,38.002417,-121.520204,65,2274489.69,"2003","2003_65",40.75,0,16,2003,"Channel","SouthwestDelta"
"23",25,"2004",3,176,366,1344,0.0933191940615058,0.19406150583245,0.712619300106045,0,0,0,NA,NA,"25_2004",12,27,"SlowShallows","SouthwestDelta",23,29673.07,38.00883,-121.550289,100,1212365.58,"2003","2003_100",32.75,0,13,2003,"SlowShallows","SouthwestDelta"
"24",26,"2004",3,43,4765,6672,0.00374564459930314,0.41506968641115,0.581184668989547,0,0,0,NA,NA,"26_2004",13,28,"DeadendSlough","SouthwestDelta",24,176537.37,38.007822,-121.669848,112,725929.62,"2003","2003_112",31,0,17,2003,"SlowShallows","SouthwestDelta"
"25",27,"2004",3,579,19799,58,0.0283323546682325,0.96882951653944,0.00283812879232727,0,0,0,NA,NA,"27_2004",11,29,"FloodedIsland","LowerSJRiver",25,295978.68,38.009013,-121.71138,116,851383.56,"2003","2003_116",29,0,14,2003,"FloodedIsland","LowerSJRiver"
"26",28,"2004",3,1227,2908,4948,0.135087526147749,0.320158537927997,0.544753935924254,0,0,0,NA,NA,"28_2004",11,30,"Channel","SoutheastDelta",26,130434.2,38.004894,-121.457961,13,1804608.06,"2003","2003_13",18,0,8,2003,"Channel","SoutheastDelta"
"27",29,"2004",3,929,12853,9430,0.0400224022057556,0.55372221264863,0.406255385145614,0,0,0,NA,NA,"29_2004",12,31,"FloodedIsland","LowerSJRiver",27,279922.45,38.01123,-121.723727,116,851383.56,"2003","2003_116",29,0,14,2003,"FloodedIsland","LowerSJRiver"
"28",30,"2004",3,973,996,7304,0.104928286422948,0.107408605629246,0.787663107947805,0,0,0,NA,NA,"30_2004",16,32,"SlowShallows","SouthwestDelta",28,127122.35,38.010856,-121.556634,100,1212365.58,"2003","2003_100",32.75,0,13,2003,"SlowShallows","SouthwestDelta"
"29",31,"2004",3,878,14301,2341,0.0501141552511416,0.816267123287671,0.133618721461187,0,0,0,NA,NA,"31_2004",9,33,"FloodedIsland","LowerSJRiver",29,226982.01,38.010251,-121.694198,115,2949574.84,"2003","2003_115",46.25,0,20,2003,"FloodedIsland","LowerSJRiver"
"30",32,"2004",0,141,406,1092,0.0860280658938377,0.2477120195241,0.666259914582062,2,0,0,NA,NA,"32_2004",10,34,"Channel","SouthwestDelta",30,24310.16,38.012575,-121.518188,68,1119203.19,"2003","2003_68",9.5,0,5,2003,"Channel","SouthwestDelta"
"31",35,"2004",0,1,306,2622,0.000341413451689997,0.104472516217139,0.895186070331171,2,0,0,NA,NA,"35_2004",7,37,"Channel","SouthwestDelta",31,32578.32,38.011731,-121.566467,101,1796195.6,"2003","2003_101",13.5,0,8,2003,"Channel","SouthwestDelta"
"32",36,"2004",3,404,801,2100,0.122239031770045,0.242360060514372,0.635400907715582,0,0,0,NA,NA,"36_2004",15,38,"Channel","SoutheastDelta",32,45314.2,38.009633,-121.448095,13,1804608.06,"2003","2003_13",18,0,8,2003,"Channel","SoutheastDelta"
"33",37,"2004",0,273,653,2648,0.0763850027979854,0.18270844991606,0.740906547285954,2,0,0,NA,NA,"37_2004",10,39,"Channel","SouthwestDelta",33,55597.23,38.017846,-121.605708,108,671195.6,"2003","2003_108",10.25,0,5,2003,"Channel","SouthwestDelta"
"34",38,"2004",3,274,659,2349,0.0834856794637416,0.200792199878123,0.715722120658135,0,0,0,NA,NA,"38_2004",13,40,"Channel","SouthwestDelta",34,47710.24,38.018949,-121.516784,68,1119203.19,"2003","2003_68",9.5,0,5,2003,"Channel","SouthwestDelta"
"35",39,"2004",0,0,251,1195,0,0.173582295988935,0.826417704011065,2,0,0,NA,NA,"39_2004",5,41,"Channel","SouthwestDelta",35,13506.41,38.018859,-121.520171,68,1119203.19,"2003","2003_68",9.5,0,5,2003,"Channel","SouthwestDelta"
"36",40,"2004",0,15,396,4785,0.00288683602771363,0.0762124711316397,0.920900692840647,2,0,0,NA,NA,"40_2004",7,42,"Channel","SouthwestDelta",36,66166.04,38.020063,-121.56038,101,1796195.6,"2003","2003_101",13.5,0,8,2003,"Channel","SouthwestDelta"
"37",41,"2004",3,346,18191,5755,0.0142433723036391,0.748847357154619,0.236909270541742,0,0,0,NA,NA,"41_2004",11,43,"FloodedIsland","LowerSJRiver",37,271992.55,38.024288,-121.699561,113,385525.84,"2003","2003_113",24,0,14,2003,"FloodedIsland","LowerSJRiver"
"38",42,"2004",3,791,775,2554,0.191990291262136,0.188106796116505,0.619902912621359,0,0,0,NA,NA,"42_2004",12,44,"Channel","SouthwestDelta",38,45489.57,38.023469,-121.512183,15,2480455.72,"2003","2003_15",35.3,0,15,2003,"Channel","SouthwestDelta"
"39",43,"2004",3,889,697,2309,0.228241335044929,0.178947368421053,0.592811296534018,0,0,0,NA,NA,"43_2004",13,45,"Channel","SoutheastDelta",39,55847.53,38.025002,-121.478827,14,1686039.45,"2003","2003_14",20.75,0,10,2003,"Channel","SoutheastDelta"
"40",44,"2004",3,45,505,2713,0.0137909898866074,0.154765553171928,0.831443456941465,0,0,0,NA,NA,"44_2004",13,46,"Channel","SouthwestDelta",40,39890.89,38.012785,-121.663922,112,725929.62,"2003","2003_112",31,0,17,2003,"Channel","SouthwestDelta"
"41",45,"2004",3,2442,527,1020,0.612183504637754,0.132113311606919,0.255703183755327,0,0,0,NA,NA,"45_2004",15,47,"FloodedIsland","SoutheastDelta",41,45987.06,38.026092,-121.479624,14,1686039.45,"2003","2003_14",20.75,0,10,2003,"FloodedIsland","SoutheastDelta"
"42",48,"2004",3,1478,513,5560,0.195735664150444,0.067938021454112,0.736326314395444,0,0,0,NA,NA,"48_2004",6,50,"FloodedIsland","LowerSacRiver",42,111702.5,38.035325,-121.814465,126,759176.08,"2003","2003_126",6,0,3,2003,"FloodedIsland","NorthDelta"
"43",49,"2004",0,1726,1454,3195,0.270745098039216,0.228078431372549,0.501176470588235,2,0,0,NA,NA,"49_2004",11,51,"Channel","SoutheastDelta",43,85681.1,38.031862,-121.497988,15,2480455.72,"2003","2003_15",35.3,0,15,2003,"Channel","SoutheastDelta"
"44",50,"2004",0,3259,28351,1085,0.0996788499770607,0.867135647652546,0.033185502370393,2,0,0,NA,NA,"50_2004",11,52,"FloodedIsland","SoutheastDelta",44,319876.59,38.028783,-121.48339,14,1686039.45,"2003","2003_14",20.75,0,10,2003,"FloodedIsland","SoutheastDelta"
"45",51,"2004",0,170,735,4858,0.0294985250737463,0.127537740760021,0.842963734166233,2,0,0,NA,NA,"51_2004",10,53,"SlowShallows","SoutheastDelta",45,69456.97,38.034794,-121.49131,15,2480455.72,"2003","2003_15",35.3,0,15,2003,"SlowShallows","SoutheastDelta"
"46",52,"2004",3,138,9848,3542,0.0102010644589001,0.727971614429332,0.261827321111768,0,0,0,NA,NA,"52_2004",12,54,"FloodedIsland","SouthwestDelta",46,139700.88,38.035067,-121.619654,107,782604.31,"2003","2003_107",19.25,0,8,2003,"FloodedIsland","SouthwestDelta"
"47",53,"2004",0,1576,260,3204,0.312698412698413,0.0515873015873016,0.635714285714286,2,0,0,NA,NA,"53_2004",8,55,"FloodedIsland","LowerSacRiver",47,59193.82,38.042374,-121.810644,128,352501.8,"2003","2003_128",1.5,0,1,2003,"FloodedIsland","NorthDelta"
"48",54,"2004",3,242,480,3306,0.0600794438927507,0.119165839126117,0.820754716981132,0,0,0,NA,NA,"54_2004",8,56,"Channel","LowerSJRiver",48,40913.73,38.037342,-121.500752,15,2480455.72,"2003","2003_15",35.3,0,15,2003,"Channel","LowerSJRiver"
"49",55,"2004",0,291,1470,1967,0.0780579399141631,0.39431330472103,0.527628755364807,2,0,0,NA,NA,"55_2004",13,57,"Channel","SoutheastDelta",49,51312.66,38.029782,-121.403918,29,468629.07,"2003","2003_29",NA,NA,NA,NA,"Channel","SoutheastDelta"
"50",56,"2004",3,107,1890,559,0.0418622848200313,0.73943661971831,0.218701095461659,0,0,0,NA,NA,"56_2004",12,58,"FloodedIsland","SouthwestDelta",50,28928.88,38.03924,-121.626102,107,782604.31,"2003","2003_107",19.25,0,8,2003,"FloodedIsland","SouthwestDelta"
"51",57,"2004",0,703,3861,5811,0.0677590361445783,0.372144578313253,0.560096385542169,2,0,0,NA,NA,"57_2004",13,59,"Channel","SoutheastDelta",51,153442.39,38.037062,-121.384458,30,152682.64,"2003","2003_30",1.5,0,1,2003,"Channel","SoutheastDelta"
"52",58,"2004",3,123,2441,3861,0.0191439688715953,0.379922178988327,0.600933852140078,0,0,0,NA,NA,"58_2004",16,60,"Channel","SoutheastDelta",52,79085.83,38.045321,-121.399835,31,322723.87,"2003","2003_31",9.5,0,5,2003,"Channel","SoutheastDelta"
"53",59,"2004",3,43,4821,1416,0.00684713375796178,0.767675159235669,0.225477707006369,0,0,0,NA,NA,"59_2004",11,61,"FloodedIsland","LowerSJRiver",53,63216.71,38.048991,-121.50239,15,2480455.72,"2003","2003_15",35.3,0,15,2003,"FloodedIsland","LowerSJRiver"
"54",60,"2004",0,0,145,1105,0,0.116,0.884,2,0,0,NA,NA,"60_2004",4,62,"SlowShallows","LowerSJRiver",54,15443.14,38.049389,-121.497308,15,2480455.72,"2003","2003_15",35.3,0,15,2003,"SlowShallows","LowerSJRiver"
"55",61,"2004",3,1837,4631,2345,0.208442074208556,0.525473731986838,0.266084193804607,0,0,0,NA,NA,"61_2004",16,63,"SlowShallows","SoutheastDelta",55,113786.21,38.042391,-121.432229,32,1348106,"2003","2003_32",29.75,0,19,2003,"SlowShallows","SoutheastDelta"
"56",62,"2004",3,932,2018,6974,0.0939137444578799,0.203345425231761,0.702740830310359,0,0,0,NA,NA,"62_2004",13,64,"Channel","LowerSJRiver",56,119112.79,38.048911,-121.520658,15,2480455.72,"2003","2003_15",35.3,0,15,2003,"Channel","LowerSJRiver"
"57",63,"2004",3,681,10255,5025,0.0426664995927573,0.64250360253117,0.314829897876073,0,0,0,NA,NA,"63_2004",13,65,"FloodedIsland","LowerSJRiver",57,199438.59,38.050491,-121.523453,16,3742966.2,"2003","2003_16",19.75,0,8,2003,"FloodedIsland","LowerSJRiver"
"58",64,"2004",0,35,1106,6427,0.00462473572938689,0.146141649048626,0.849233615221987,2,0,0,NA,NA,"64_2004",6,66,"Channel","LowerSJRiver",58,88182.75,38.049527,-121.532819,16,3742966.2,"2003","2003_16",19.75,0,8,2003,"Channel","LowerSJRiver"
"59",65,"2004",0,1598,5055,3944,0.150797395489289,0.477021798622252,0.372180805888459,2,0,0,NA,NA,"65_2004",10,67,"FloodedIsland","LowerSJRiver",59,128044.4,38.052527,-121.502425,15,2480455.72,"2003","2003_15",35.3,0,15,2003,"FloodedIsland","LowerSJRiver"
"60",66,"2004",3,87,1707,1624,0.0254534815681685,0.499414862492686,0.475131655939146,0,0,0,NA,NA,"66_2004",15,68,"Channel","SoutheastDelta",60,57323.74,38.057059,-121.458819,32,1348106,"2003","2003_32",29.75,0,19,2003,"Channel","SoutheastDelta"
"61",68,"2004",3,252,3006,3815,0.0356284462038739,0.424996465431924,0.539375088364202,0,0,0,NA,NA,"68_2004",15,70,"SlowShallows","SoutheastDelta",61,94700.1,38.072366,-121.454625,37,800442.36,"2003","2003_37",15.5,0,6,2003,"SlowShallows","SoutheastDelta"
"62",69,"2004",1,2208,1141,29534,0.0671471581060122,0.0346987805248913,0.898154061369096,0,0,0,NA,NA,"69_2004",6,71,"Channel","LowerSacRiver",62,493239.95,38.085779,-121.716236,22,2972497.84,"2003","2003_22",5,0,2,2003,"Channel","NorthDelta"
"63",70,"2004",1,1087,1420,10670,0.0824922212946801,0.107763527358276,0.809744251347044,0,0,0,NA,NA,"70_2004",9,72,"Channel","LowerSJRiver",63,227752.04,38.106588,-121.601927,19,3126152.92,"2003","2003_19",10.25,0,4,2003,"Channel","LowerSJRiver"
"64",71,"2004",0,2753,100,0,0.964949176305643,0.0350508236943568,0,2,0,0,NA,NA,"71_2004",7,73,"Channel","LowerSJRiver",64,61457.52,38.117325,-121.633056,20,504787.23,"2003","2003_20",10.75,0,4,2003,"Channel","LowerSJRiver"
"65",72,"2004",0,1033,0,0,1,0,0,2,0,0,NA,NA,"72_2004",3,74,"Channel","LowerSJRiver",65,15907.04,38.117896,-121.637608,20,504787.23,"2003","2003_20",10.75,0,4,2003,"Channel","LowerSJRiver"
"66",74,"2004",0,1486,89,0,0.943492063492063,0.0565079365079365,0,2,0,0,NA,NA,"74_2004",3,76,"Channel","LowerSJRiver",66,25849.93,38.117495,-121.6524,20,504787.23,"2003","2003_20",10.75,0,4,2003,"Channel","LowerSJRiver"
"67",76,"2004",1,140,95,1814,0.0683260126891166,0.0463640800390434,0.88530990727184,0,0,0,NA,NA,"76_2004",9,78,"Channel","SoutheastDelta",67,22945.79,38.118466,-121.539927,202,825628.76,"2003","2003_202",0,4.75,2,2003,"Channel","SoutheastDelta"
"68",80,"2004",0,65,15297,13,0.00422764227642276,0.994926829268293,0.000845528455284553,2,0,0,NA,NA,"80_2004",12,82,"DeadendSlough","SoutheastDelta",68,217719.25,38.143881,-121.441634,203,1003452.08,"2003","2003_203",0,8.5,4,2003,"SlowShallows","SoutheastDelta"
